Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Region,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Payment_Mode,Delivery_Type,Delivery_Time_Minutes,Rating
ORD00001,2024-08-04,CUST0017,Customer 16,New Delhi,Delhi,North,P195,Curd,Dairy,Britannia,3,373.51,20,896.42,516.41,380.01,UPI,Express,45,3
ORD00002,2024-06-23,CUST0143,Customer 80,Mumbai,Maharashtra,West,P320,Shampoo,Household,Blinkit Fresh,1,384.23,5,365.02,277.21,87.81,UPI,Express,34,3
ORD00003,2024-05-30,CUST0425,Customer 322,Bhubaneswar,Odisha,East,P733,Potato,Fruits & Vegetables,Blinkit Fresh,2,487.1,15,828.07,475.01,353.06,Cash,Express,55,3
ORD00004,2024-07-05,CUST0084,Customer 190,New Delhi,Delhi,North,P463,Apple,Fruits & Vegetables,Britannia,2,202.46,15,344.18,254.94,89.24,Cash,Standard,54,5
ORD00005,2024-06-15,CUST0432,Customer 394,New Delhi,Delhi,North,P894,Paneer,Dairy,Amul,7,149.57,20,837.59,515.86,321.73,UPI,Express,30,4
ORD00006,2024-11-25,CUST0235,Customer 74,Kolkata,West Bengal,south,P371,Shampoo,Household,ITC,4,334.61,15,1137.67,927.66,210.01,UPI,Standard,57,5
ORD00007,2024-03-19,CUST0322,Customer 82,Ahmedabad,Gujarat,West,P911,Curd,Dairy,Tata,8,63.64,0,509.12,411.54,97.58,Cash,Express,34,4
ORD00008,2024-08-10,CUST0081,Customer 233,Ahmedabad,Gujarat,West,P103,Onion,Fruits & Vegetables,Parle,5,388.93,10,1750.19,1021.18,729.01,Cash,Express,42,3
ORD00009,2024-07-04,CUST0450,Customer 426,Kolkata,West Bengal,East,P926,Biscuits,Snacks,Parle,1,307.49,15,261.37,145.28,116.09,UPI,Express,25,5
ORD00010,2024-03-25,CUST0136,Customer 271,New Delhi,Delhi,North,P993,Onion,Fruits & Vegetables,Tata,3,81.63,15,208.16,173.62,34.54,UPI,Express,55,4
